,,,Align Round Left,Align Round Right,*+low/+round,*+round,Ident (Round),Ident (Round)/Init,Ident (High)
,,,AlignL,AlignR,*o,*round,Id(rd),Id(rd)/Init,Id(hi)
i i,i i,1,,,,,,,
,i e,,,,,,,,1
,i u,,1,,,1,1,,
,i o,,1,,1,1,1,,1
,e i,,,,,,,,1
,e e,,,,,,,,2
,e u,,1,,,1,1,,1
,e o,,1,,1,1,1,,2
,u i,,,1,,1,1,1,
,u e,,,1,,1,1,1,1
,u u,,,,,2,2,1,
,u o,,,,1,2,2,1,1
,o i,,,1,1,1,1,1,1
,o e,,,1,1,1,1,1,2
,o u,,,,1,2,2,1,1
,o o,,,,2,2,2,1,2
i e,i e,1,,,,,,,
,i i,,,,,,,,1
,i u,,1,,,1,1,,1
,i o,,1,,1,1,1,,
,e i,,,,,,,,2
,e e,,,,,,,,1
,e u,,1,,,1,1,,2
,e o,,1,,1,1,1,,1
,u i,,,1,,1,1,1,1
,u e,,,1,,1,1,1,
,u u,,,,,2,2,1,1
,u o,,,,1,2,2,1,
,o i,,,1,1,1,1,1,2
,o e,,,1,1,1,1,1,1
,o u,,,,1,2,2,1,2
,o o,,,,2,2,2,1,1
e i,e i,1,,,,,,,
,i i,,,,,,,,1
,i e,,,,,,,,2
,i u,,1,,,1,1,,1
,i o,,1,,1,1,1,,2
,e e,,,,,,,,1
,e u,,1,,,1,1,,
,e o,,1,,1,1,1,,1
,u i,,,1,,1,1,1,1
,u e,,,1,,1,1,1,2
,u u,,,,,2,2,1,1
,u o,,,,1,2,2,1,2
,o i,,,1,1,1,1,1,
,o e,,,1,1,1,1,1,1
,o u,,,,1,2,2,1,
,o o,,,,2,2,2,1,1
e e,e e,1,,,,,,,
,i i,,,,,,,,2
,i e,,,,,,,,1
,i u,,1,,,1,1,,2
,i o,,1,,1,1,1,,1
,e i,,,,,,,,1
,e u,,1,,,1,1,,1
,e o,,1,,1,1,1,,
,u i,,,1,,1,1,1,2
,u e,,,1,,1,1,1,1
,u u,,,,,2,2,1,2
,u o,,,,1,2,2,1,1
,o i,,,1,1,1,1,1,1
,o e,,,1,1,1,1,1,
,o u,,,,1,2,2,1,1
,o o,,,,2,2,2,1,
u u,u u,1,,,,2,,,
,i i,,,,,,2,1,
,i e,,,,,,2,1,1
,i u,,1,,,1,1,1,
,i o,,1,,1,1,1,1,1
,e i,,,,,,2,1,1
,e e,,,,,,2,1,2
,e u,,1,,,1,1,1,1
,e o,,1,,1,1,1,1,2
,u i,,,1,,1,1,,
,u e,,,1,,1,1,,1
,u o,,,,1,2,,,1
,o i,,,1,1,1,1,,1
,o e,,,1,1,1,1,,2
,o u,,,,1,2,,,1
,o o,,,,2,2,,,2
u e,u e,1,,1,,1,,,
,i i,,,,,,1,1,1
,i e,,,,,,1,1,
,i u,,1,,,1,2,1,1
,i o,,1,,1,1,2,1,
,e i,,,,,,1,1,2
,e e,,,,,,1,1,1
,e u,,1,,,1,2,1,2
,e o,,1,,1,1,2,1,1
,u i,,,1,,1,,,1
,u u,,,,,2,1,,1
,u o,,,,1,2,1,,
,o i,,,1,1,1,,,2
,o e,,,1,1,1,,,1
,o u,,,,1,2,1,,2
,o o,,,,2,2,1,,1
o u,o u,1,,,1,2,,,
,i i,,,,,,2,1,1
,i e,,,,,,2,1,2
,i u,,1,,,1,1,1,1
,i o,,1,,1,1,1,1,2
,e i,,,,,,2,1,
,e e,,,,,,2,1,1
,e u,,1,,,1,1,1,
,e o,,1,,1,1,1,1,1
,u i,,,1,,1,1,,1
,u e,,,1,,1,1,,2
,u u,,,,,2,,,1
,u o,,,,1,2,,,2
,o i,,,1,1,1,1,,
,o e,,,1,1,1,1,,1
,o o,,,,2,2,,,1
o e,o e,1,,1,1,1,,,
,i i,,,,,,1,1,2
,i e,,,,,,1,1,1
,i u,,1,,,1,2,1,2
,i o,,1,,1,1,2,1,1
,e i,,,,,,1,1,1
,e e,,,,,,1,1,
,e u,,1,,,1,2,1,1
,e o,,1,,1,1,2,1,
,u i,,,1,,1,,,2
,u e,,,1,,1,,,1
,u u,,,,,2,1,,2
,u o,,,,1,2,1,,1
,o i,,,1,1,1,,,1
,o u,,,,1,2,1,,1
,o o,,,,2,2,1,,
